band1,band2,score
4,53,0.46441497827499445
4,54,0.46407845506916234
4,55,0.4614282679302988
4,56,0.45309079574701383
4,57,0.4580152593999125
4,58,0.4515888600998079
4,59,0.45456931538764456
4,60,0.46303176561839376
4,61,0.4502199223092207
4,62,0.45229305603451164
4,63,0.4576670676369108
4,64,0.45908375423805947
4,65,0.4592287709814631
4,66,0.45796390645991225
5,5,0.46464410422100444
5,6,0.48880926712284445
5,7,0.48535560119633625
5,8,0.4943935926775629
5,9,0.5093901883149691
5,10,0.5335556350512219
5,11,0.5513356322827565
5,12,0.5651964755625638
5,13,0.5809598621798484
5,14,0.5997229789580123
5,15,0.6225848488162128
5,16,0.6260275464661209
5,17,0.6217052793005209
5,18,0.6139885951210771
5,19,0.6027301645890387
5,20,0.5951247298204698
5,21,0.5851039438705865
5,22,0.579066262102836
5,23,0.5709190789615607
5,24,0.5636983318324391
5,25,0.5530145688744232
5,26,0.5505214291260538
5,27,0.5497565578151382
5,28,0.5442493935273791
5,29,0.5413902254507335
5,30,0.5393222179317156
5,31,0.5416230575521933
5,32,0.5429407946823765
5,33,0.5161990594316617
5,34,0.5087063123779394
5,35,0.5086357321692857
5,36,0.5078969000294244
5,37,0.5076012535238688
5,38,0.5114928880917993
5,39,0.5092687949625284
5,40,0.5005334698229049
5,41,0.49578119206017546
5,42,0.48737217723481496
5,43,0.4873908525326939
5,44,0.4890613011143127
5,45,0.49081115156473465
5,46,0.4916175885419808
5,47,0.48491134486591214
5,48,0.4639458844551211
5,49,0.45920631750627494
5,50,0.4649195397970056
5,51,0.46728716308545204
5,52,0.4613899599879496
5,53,0.46275265949404665
5,54,0.4635703115464932
5,55,0.46284437775522935
5,56,0.4574595562002983
5,57,0.4672009320433991
5,58,0.4591690410936773
5,59,0.4565647244056392
5,60,0.4630040611429762
5,61,0.46054040524069884
5,62,0.4559859968158565
5,63,0.4604706953613821
5,64,0.4605903543365072
5,65,0.4615322598810758
5,66,0.46413191380786967
6,6,0.455332106779463
6,7,0.46449857434023667
6,8,0.5479524272608638
6,9,0.5980601900282803
6,10,0.6227085706804452
6,11,0.643395569605762
6,12,0.6680670059184364
6,13,0.6833803651605906
6,14,0.6974666340465361
6,15,0.6981909436531784
6,16,0.6892938811284803
6,17,0.6802357476891034
6,18,0.6655986962084726
6,19,0.6550395222764354
6,20,0.6390550835237687
6,21,0.6230246903012258
6,22,0.6037065376093138
6,23,0.5956722142405733
6,24,0.5860593029560958
6,25,0.5778799263507964
6,26,0.5691707724075531
